,1y,6m
AAPL,5.734560154071264,-13.929516372207635
ABNB,-12.686208144587852,-8.919316482438045
ACGL,-3.1157052205307747,-5.856486861215469
ADBE,-13.600737478913638,-20.313072134749177
ADI,-6.043952721463561,-2.67188856044019
ADP,36.08239285852024,7.504977820848656
ADSK,41.12616027884467,-7.010242531559068
AEP,20.046221881108362,6.4344690620551965
AFRM,75.607288491506,-24.94592590873132
AKAM,-17.82049967880569,-19.600595066980507
ALAB,40.23806280490169,-9.971109115345698
AMAT,-27.260628348996228,-8.162778622925087
AMD,-34.13554083253184,-19.910724248077866
AMGN,-2.4995623989687306,-1.9194818380788334
AMZN,12.928906857466737,2.109704673310041
APP,361.64843865084293,20.225919268166333
ARCC,12.855243003403347,4.5156582756261185
ARM,2.529216904402846,-8.29036882837226
ASML,-24.14632872128579,9.714548324223854
AUR,156.7901069832211,-3.2558146411929654
AVGO,73.40660311603251,47.647417013336714
AZN,-5.606756100911875,8.25646920262261
BIDU,-15.40697916745534,2.0805627903705908
BIIB,-39.308735613308386,-16.35688086175284
BKR,17.932517269262007,-13.252430228689683
BMRN,-21.33548435174594,-10.04762247470426
BSY,-8.507605423609368,-3.027019767187791
CART,42.023577243472864,4.930056595026286
CCEP,28.853211034047476,17.21107208134326
CDNS,-3.9532736210398935,-8.927946906313512
CDW,-17.970605989094587,1.2397849433215997
CEG,32.25455950859683,22.264511751697277
CG,9.660752982440208,-14.44327188230369
CHRW,14.561857943874232,-9.541400151372141
CHTR,45.82933386523401,2.9495139547652136
CMCSA,-8.067501561399444,-19.25532608865592
CME,43.45403780279233,28.980924914786204
COIN,1.5673454440369896,-20.29979009512918
COO,-12.783596402367674,-21.914064557640785
COST,24.69168654238286,5.232683596445882
CPRT,-2.4843568834885246,-19.341179342830884
CRDO,207.91125538138232,35.60654821519658
CRWD,32.29052184687923,26.157612956074928
CRWV,,
CSCO,40.327325564020086,8.79035362274273
CSGP,-11.037715836674515,-7.7354249861724345
CSX,-4.78152754135032,-13.566464365610207
CTAS,34.85486033905214,0.7534956757143516
CTSH,22.460869937941013,0.7513636658662884
DASH,81.94592439435745,14.226686130212759
DDOG,-4.184751932527937,-25.301668676102572
DKNG,-2.7588148576673017,-17.20930587413699
DLTR,-19.854888938707447,29.80797279395911
DOCU,48.51845511037901,0.23388719827601204
DXCM,-33.38043457362806,9.032504964546794
EA,8.887831422546451,-12.63757989846126
EBAY,40.061451665777035,12.906418256631264
ENTG,-44.66713192075167,-32.802529824690566
ERIC,47.65827034473526,6.111111638995495
EVRG,29.659301695657504,4.813508627443831
EXAS,22.543595004093376,4.497641584489942
EXC,23.461504595928094,13.724320134995658
EXE,31.061135232651445,18.285268724680172
EXEL,109.43951895054941,17.097298579953293
EXPD,-3.7315386334706333,-6.892828944356541
EXPE,50.75619464700733,-9.823093231514193
FANG,-28.12797725437343,-22.167908812302404
FAST,30.818541503022363,0.06592102559218205
FITB,8.381070013725981,-19.432578539608926
FLEX,24.673006503129095,2.118331965788658
FOX,63.36247544301936,15.371319940183389
FOXA,65.30934722637987,19.38846988786751
FSLR,-44.33538159989185,-19.121465084264408
FTAI,40.53382304627773,-29.631561799249724
FTNT,71.6400329790039,9.57903555181405
FUTU,42.883209121852346,30.823185671737036
GEHC,-9.01981440413994,-13.384112201423479
GEN,14.909038307907602,-7.746466525970168
GFS,-26.20951717387828,-17.886542333846176
GGAL,89.58035797926789,4.791929252104217
GILD,80.29614135275123,24.688117247880328
GLPI,11.454050735620203,-7.128975901106097
GMAB,-23.88432873756061,2.5492965654515047
GOOG,-2.3821964030999365,2.3157163309777022
GOOGL,-2.1079057285692646,2.746866695104538
GRAB,33.972595581352664,-4.863813355912285
GTM,-27.414333457419925,-14.219973390159977
HBAN,20.12523661777325,-11.912414184206751
HOLX,-14.231191868246931,-21.083662962779023
HON,15.434982558491061,-1.3217938588913312
HOOD,212.40841674683836,68.95641569619487
HST,-10.132877692353091,-13.303504359619236
HTHT,-0.5784239111852895,5.510091063992291
IBKR,63.80885287938557,9.871012138154056
ICLR,-59.1758523886806,-39.53219660185717
IEF,5.9292650019786555,1.5629334930450458
ILMN,-17.509434508934714,-41.39897476899625
INCY,15.353713389567414,-10.174096938352477
INSM,44.00748461679319,-6.586580502936632
INTC,-34.39002678019384,-18.576601058835376
INTU,27.01787658260539,19.725931924198264
ISRG,38.58065523568271,3.5784200249464355
JD,13.453022559157022,-1.7354150879605097
KDP,1.8906561428546365,3.262512990664386
KHC,-19.07990423204388,-13.437775982256234
KLAC,-0.6322421971182332,20.61763738187542
LBRDK,81.85703880935799,9.241547351656344
LI,39.793920237072776,26.96078027216776
LIN,9.303508212548442,2.4907859561695593
LKQ,-3.4601324456810336,2.7610169595442655
LNT,28.255589050690194,-1.146289487572444
LRCX,-12.392600519798195,14.87344418411417
LULU,7.3971198434853935,-2.9474794462636282
MAR,13.706951436061715,-8.027555195624151
MBLY,-38.16534804720691,-11.459463995856208
MCHP,-39.55358054805612,-15.534327915945468
MDB,-43.61936257094206,-44.5277687086458
MDLZ,2.650740302017454,5.454172106759819
META,34.898148601394475,14.3396187222069
MNST,23.21393515886349,15.751182101701161
MRNA,-82.42167046891396,-38.31882638732528
MRVL,-18.36998216460571,-30.79488033038636
MSFT,7.407664406154913,9.94614403885547
MSTR,121.22541366359023,-8.134838599875192
MU,-26.70066720471324,-7.1095297188269875
NBIX,-11.973229340106231,-2.714182150638136
NDAQ,40.41042567790103,2.926876955345763
NFLX,82.56702393706664,36.88466232171638
NTAP,-14.306723951685733,-20.513464690110688
NTES,40.11165015847843,48.000478666102595
NTNX,5.670102764055921,4.189553975972858
NTRA,44.24569087520373,-3.856680066567268
NTRS,35.02712945200187,-1.4681936783118816
NVDA,22.242778518589144,2.347002442449729
NWSA,7.451298906311396,-3.238925225193787
NXPI,-28.714025224585704,-15.437096550341774
ODFL,-5.9915112023636246,-27.829560504426276
OKTA,10.899631368927599,39.385617324729374
ON,-41.69721963736707,-40.682416095103214
PAA,5.9277019217755464,-1.635442059982032
PANW,20.658421111453706,-3.8148946757339526
PAYX,34.646388810308984,9.86627246900576
PCAR,-9.03207186528586,-16.22276047110508
PDD,-34.35078806161812,-2.3835549386102364
PEP,-21.38194313662032,-17.681959528187818
PFF,2.2475279710809972,-4.904686958994627
PPC,53.18559961465851,9.91849893316625
PYPL,14.090401148839343,-19.18650675853813
QCOM,-28.988012283623704,-5.603825247241579
QQQ,13.79829545682254,2.952091598665695
REG,27.791005862872275,-0.32534000499197835
REGN,-37.61935309396678,-19.005284939229732
RIVN,44.00191942971375,29.35344500859211
RKLB,523.0068613501965,13.674152072132978
ROKU,28.9636883398458,6.71357629595698
ROST,2.010619285798075,-8.859873039280505
RPRX,26.15564742242034,24.95877974612705
RYAAY,16.602491931037942,29.2552358801019
SBUX,11.183527167223563,-16.43647118122229
SFM,112.09777995643881,13.143666380456953
SHY,5.638914664017296,2.444932031253107
SMCI,-52.95637293253543,7.133563367226636
SMMT,996.6526332233581,36.58154432021113
SNPS,-22.61285363386734,-19.02219478022151
SNY,14.037893529028924,13.070875250456337
SOFI,91.14659407114922,-16.114648176480532
SSNC,34.17535324052853,5.50160952723495
STLD,-5.349507800344959,-12.976411472836238
STX,25.570778995826,18.382314997028754
SWKS,-21.205035229148837,-18.670668894729562
SYM,-29.9443244444703,-22.76487966040542
TCOM,24.136538914611688,0.5326968565444204
TEAM,23.728906451647546,-21.865903189355844
TER,-43.98076468377786,-26.63814038640072
TMUS,45.045153529770126,0.4274457984319303
TPG,15.74232307169624,-30.799460459358485
TRMB,28.37693309545805,-1.7683253462615758
TROW,-15.04564370618276,-21.427982568394885
TSCO,-12.378727372095298,-13.644078599732467
TSLA,102.78924620977723,5.859593181273912
TTD,-21.253549124830027,-42.11055761876551
TTWO,43.75279612285238,20.131118886806163
TXN,-4.6007543017381645,-7.3828946242605
TXRH,15.406632944323235,-2.4404030253819857
UAL,55.15402970341482,-18.857793856174688
VOD,18.898737525381307,16.049386415995524
VRTX,0.046990568560612164,-3.1664887890150726
VTRS,-11.00144884532132,-32.11659850045328
WBD,27.573063632132307,-3.4615352873264933
WDAY,12.216854700690046,-9.686580633599135
WDC,-8.68971949050336,0.1348829707051139
WMG,-9.656178554280071,-17.32845434133337
XEL,33.92017226597008,-1.3521543693591846
XP,7.429993045954077,26.11637970030605
ZM,28.810829314306645,-10.210037585673227
ZS,52.96661489312062,19.337516773826994
